Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
78,2025-02-17,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,925,949.9,925,940.1,57731,54276666.3,913.2,979.5,517.2,2025-02-17T14:59:58.195237,940.1,560,940.16,9236.48
79,2025-02-17,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,1224.2,1270,1203,1253,29442,36841410,1200.2,1285,622.6,2025-02-17T14:59:56.21842,1253,407,1251.32,5108.39
80,2025-02-17,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1755,1860,1755,1826,14651,26675340.2,1789.8,1960,747,2025-02-17T14:59:56.63161,1826,245,1820.71,4089.02
81,2025-02-17,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1180,1195,1171,1185,7781,9218628.4,1158.9,1428,720,2025-02-17T14:59:17.323098,1185,88,1184.76,5233.7
82,2025-02-17,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,964.8,1003.6,964.8,979,11949,11777336.7,946,1174,564.9,2025-02-17T14:59:07.80154,979,172,985.63,7293.95
83,2025-02-17,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1093.8,1134,1085,1088.3,32386,35795799.1,1075,1447,545.1,2025-02-17T14:59:04.335896,1088.3,309,1105.28,3480.58
84,2025-02-17,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1430,1430,1365,1386.5,14259,20109548.9,1409,1716,775,2025-02-17T14:59:58.41873,1386.5,168,1410.3,8712.18
85,2025-02-17,393,HLI,Himalayan Life Insurance Limited,418,430,418,427,48605,20679881.2,418,607,364.1,2025-02-17T14:59:32.453381,427,451,425.46,39041.62
86,2025-02-17,397,ADBL,Agricultural Development Bank Limited,292,300.9,289.5,295,70893,20876768.9,291.4,428.4,220.5,2025-02-17T15:00:00.001681,295,351,294.48,40872.91
87,2025-02-17,403,SJLIC,SuryaJyoti Life Insurance Company Limited,447,459,447,453,48084,21760894.1,447,644,395.1,2025-02-17T14:59:51.633553,453,419,452.55,22704.12
88,2025-02-17,418,JBBL,Jyoti Bikas Bank Limited,354.2,365,354.2,363.9,69017,25006722,359,445,275,2025-02-17T14:59:58.97931,363.9,273,362.32,15996.27
89,2025-02-17,472,SADBL,Shangrila Development Bank Ltd.,414,414,406.7,410.9,66378,27214527.8,407.9,497,285,2025-02-17T14:59:40.547511,410.9,170,409.99,14612.66
90,2025-02-17,473,SHINE,Shine Resunga Development Bank Ltd.,444.7,444.7,434.1,436.8,49471,21603500.1,436,625,353,2025-02-17T14:59:59.180928,436.8,252,436.69,21297.07
91,2025-02-17,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,830,856.8,825,848.5,131606,111440494.9,827,1004,565,2025-02-17T14:59:57.664239,848.5,724,846.77,11411.23
92,2025-02-17,516,MFIL,Manjushree Finance Ltd.,669,670.1,654.3,659,42867,28348766.4,657,917,480.2,2025-02-17T14:59:59.097235,659,350,661.31,8906.73
93,2025-02-17,517,NBL,Nepal Bank Limited,255.7,260,251.6,258,104068,26680602.6,254.8,337.5,195.1,2025-02-17T14:59:48.566085,258,367,256.37,37910.58
94,2025-02-17,545,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,1029,1075,1029,1055,50001,52994532.1,1050,1250,541,2025-02-17T14:59:49.401512,1055,395,1059.86,7080.16
95,2025-02-17,561,SINDU,Sindhu Bikash Bank Ltd,1097.6,1119,1082.1,1093,51711,57092956.2,1119.9,1349.6,300,2025-02-17T14:59:59.590102,1093,585,1104.07,6093
96,2025-02-17,587,RLFL,Reliance Finance Ltd.,634.3,682.9,634.3,666,368206,242663282.9,621.9,838,339,2025-02-17T14:59:56.780369,666,2506,659.04,7468.87
97,2025-02-17,591,SHPC,Sanima Mai Hydropower Ltd.,499,515,486.2,506.8,234890,117408922,490.1,680,316,2025-02-17T14:59:59.240869,506.8,548,499.84,18944.15
98,2025-02-17,610,RIDI,Ridi Power Company Limited,236,236.5,231,235.5,121973,28558283.4,232.8,311,154.5,2025-02-17T14:59:08.664042,235.5,348,234.13,5471.49
99,2025-02-17,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,11340,11344,11160,11181,390,4386358,11160,16270,9893.1,2025-02-17T14:54:28.601752,11181,10,11247.07,19860.77
100,2025-02-17,686,BARUN,Barun Hydropower Co. Ltd.,488,493.5,476.5,478.5,113458,54659418.5,484,524,211,2025-02-17T14:59:58.05636,478.5,519,481.75,2563.87
101,2025-02-17,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1739.1,1840,1710.1,1824,27143,48852647.1,1705,1840,839,2025-02-17T14:59:57.191751,1824,386,1799.82,3102.48
102,2025-02-17,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,820,876,816.1,864.9,46911,40161150.1,820,918,480,2025-02-17T14:59:51.587898,864.9,393,856.11,6239.81
103,2025-02-17,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1399,1435.6,1389.1,1418,24034,34070821.4,1385,1815,750,2025-02-17T14:59:47.936829,1418,296,1417.6,8776
104,2025-02-17,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,768.9,780.3,741,778.4,38197,29413618.7,754.8,980,512,2025-02-17T14:59:57.645492,778.4,346,770.05,11045.5
105,2025-02-17,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,272,278.1,270,270,319163,87460437.9,271,360,158.1,2025-02-17T14:59:51.419964,270,855,274.03,66311.5
106,2025-02-17,2743,NGPL,Ngadi Group Power Ltd.,280,288,280,284.2,283995,80435932.9,279.7,571,250,2025-02-17T14:59:42.199065,284.2,606,283.23,10522.67
107,2025-02-17,2744,GRDBL,Green Development Bank Ltd.,1504.3,1558,1425.9,1470,62823,92162386.8,1535,2001.4,340.1,2025-02-17T14:59:59.630256,1470,287,1467.01,7919.21
108,2025-02-17,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,740,765,740,761,46705,35527448.2,748.6,890,503,2025-02-17T14:59:40.721013,761,270,760.67,7869.23
109,2025-02-17,2757,AKPL,Arun Kabeli Power Ltd.,238.4,238.4,233.7,235.5,87650,20720004,233.8,326,157.2,2025-02-17T14:59:58.091031,235.5,322,236.39,9174.94
110,2025-02-17,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1260,1291.5,1260,1286,4670,5993622.7,1258.3,1739,976,2025-02-17T14:58:40.424935,1286,82,1283.43,15379.97
111,2025-02-17,2760,UMHL,United Modi Hydropower Ltd.,383,394,381.3,383.1,205616,79412875.9,390,419,223.1,2025-02-17T14:59:59.092256,383.1,773,386.21,4714.05
112,2025-02-17,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,917,965,917,946,20271,19301236.5,913.6,1271,558,2025-02-17T14:59:33.311946,946,367,952.16,5950.83
113,2025-02-17,697,API,Api Power Company Ltd.,284,288,283.1,284,192106,54717004.2,283,390,162,2025-02-17T14:59:59.526635,284,727,284.82,17255.63
114,2025-02-17,700,HEIP,Himalayan Everest Insurance Limited Promoter,393.1,403,393.1,396.1,16340,6526611.3,398,563,323.1,2025-02-17T14:59:28.736305,396.1,42,399.42,1059.58
115,2025-02-17,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,815,825,799.2,824,11558,9434788,800,1214.8,645.6,2025-02-17T14:59:53.787307,824,175,816.29,9115.8
116,2025-02-17,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1300,1388,1300,1345.1,15709,21304343.8,1300,1727,1027,2025-02-17T14:58:41.374954,1345.1,221,1356.18,17911.47
117,2025-02-17,2751,KKHC,Khanikhola Hydropower Co. Ltd.,378,393.4,378,386,42650,16578456.2,381,475,209,2025-02-17T14:59:53.427631,386,258,388.7,1797.66
118,2025-02-17,2754,DHPL,Dibyashwori Hydropower Ltd.,330,357.5,326.2,357.5,201713,70933005.2,325,357.5,185.3,2025-02-17T14:59:30.774678,357.5,882,351.65,943.8
119,2025-02-17,2759,SPDL,Synergy Power Development Ltd.,373,376.5,365.2,366.9,147977,54620894.2,371,389,220.2,2025-02-17T14:59:58.541224,366.9,476,369.11,4438.99
120,2025-02-17,2769,NHDL,Nepal Hydro Developers Ltd.,897,928,891,892,19678,17693998.8,915,940,408,2025-02-17T14:59:55.170758,892,138,899.17,3462.71
121,2025-02-17,2776,RADHI,Radhi Bidyut Company Ltd,408,424.4,408,411.9,198045,81992790.8,416,477,223.2,2025-02-17T14:59:59.754504,411.9,556,414.01,7574.76
122,2025-02-17,2779,NICGF,NIC Asia Growth Fund,10.52,10.66,10.51,10.66,9600,101996,10.7,11.91,8.98,2025-02-17T14:52:45.868384,10.66,8,10.62,890.32
123,2025-02-17,2780,CMF1,Citizens Mutual Fund -1,10.63,10.7,10.63,10.7,14890,159050.4,10.62,11.22,8.33,2025-02-17T14:54:06.889782,10.7,10,10.68,877.4
124,2025-02-17,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,3020,3273.6,3020,3273.6,14396,46911759.1,2976,3500,744.8,2025-02-17T14:52:12.464979,3273.6,226,3258.66,2593.06
125,2025-02-17,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,1019,1040.8,1002,1032.1,14207,14633079.2,1000,1190,500,2025-02-17T14:58:37.864903,1032.1,150,1029.99,5013.53
126,2025-02-17,2786,PMHPL,Panchakanya Mai Hydropower Ltd,341.7,341.7,325,326,31620,10358769.1,335,348.8,214.2,2025-02-17T14:59:47.319916,326,154,327.6,3586
127,2025-02-17,2787,KPCL,Kalika power Company Ltd,617,628,609.1,609.1,110130,67985895.8,609,652.4,380.2,2025-02-17T14:59:55.736722,609.1,466,617.32,5688.69
128,2025-02-17,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,206,209.9,206,206.2,256256,53300496.4,207,274.9,150.9,2025-02-17T14:59:58.07967,206.2,683,207.99,4124
129,2025-02-17,2789,JOSHI,Joshi Hydropower Development Company Ltd,428,436,420,428.6,78210,33558662.6,421,521.6,265,2025-02-17T14:59:56.040763,428.6,444,429.08,1591.82
